trial,t_us,phase,x_cm,y_cm,ax,ay,az,,,,,
1,2321184,2,12.5,9.5,1700,16112,-1832,,,,,
1,2324184,2,12.5,9.5,1832,16156,-1672,,,,,
1,2326184,2,12.5,9.5,1596,16096,-1708,,,,,
1,2329184,2,12.5,9.5,1556,16040,-1748,,,,,
1,2331184,2,12.5,9.5,1800,16204,-1864,,,,,
1,2334184,2,12.5,9.5,1896,16196,-1644,,,,,
1,2336184,2,12.5,9.5,1408,16172,-1856,,,,,
1,2339184,2,12.5,9.5,1532,16240,-1648,,,,,
1,2341184,2,12.5,9.5,1632,16264,-1692,,,,,
1,2344184,2,12.5,9.5,1288,16168,-1740,,,,,
1,2346183,2,12.5,9.5,1744,16220,-1588,,,,,
1,2349184,2,12.5,9.5,1772,16092,-1660,,,,,
1,2351183,2,12.5,9.5,1544,16208,-1688,,,,,
1,2354184,2,12.5,9.5,1556,16220,-1804,,,,,
1,2356184,2,12.5,9.5,2088,16224,-1508,,,,,
1,2359184,2,12.5,9.5,1864,16284,-1644,,,,,
1,2361183,2,12.5,9.5,2040,16252,-1728,,,,,
1,2364184,2,12.5,9.5,1928,16292,-1760,,,,,
1,2366184,2,12.5,9.5,1728,16252,-1732,,,,,
1,2369184,2,12.5,9.5,2116,16292,-1544,,,,,
1,2371184,2,12.5,9.5,1596,16188,-1760,,,,,
1,2374184,2,12.5,9.5,1600,16200,-1748,,,,,
1,2376184,2,12.5,9.5,1652,16264,-1528,,,,,
1,2379184,2,12.5,9.5,1500,16292,-1752,,,,,
1,2381184,2,12.5,9.5,1496,16144,-1768,,,,,
1,2384184,2,12.5,9.5,1492,16120,-1792,,,,,
1,2386184,2,12.5,9.5,1700,16228,-1824,,,,,
1,2389184,2,12.5,9.5,1632,16204,-1776,,,,,
1,2391184,2,12.5,9.5,1664,16164,-1784,,,,,
1,2394184,2,12.5,9.5,1708,16104,-1692,,,,,
1,2396184,2,12.5,9.5,1672,16092,-1716,,,,,
1,2399184,2,12.5,9.5,1880,16140,-1544,,,,,
1,2401184,2,12.5,9.5,1464,16108,-1628,,,,,
1,2404184,2,12.5,9.5,1808,16144,-1620,,,,,
1,2406184,2,12.5,9.5,1532,16108,-1600,,,,,
1,2409184,2,12.5,9.5,1740,16188,-1592,,,,,
1,2411184,2,12.5,9.5,1712,16240,-1692,,,,,
1,2414184,2,12.5,9.5,1924,16304,-1764,,,,,
1,2416183,2,12.5,9.5,1536,16216,-1736,,,,,
1,2419184,2,12.5,9.5,1684,16312,-1768,,,,,
1,2421184,2,12.5,9.5,1684,16328,-1648,,,,,
1,2424184,2,12.5,9.5,1640,16296,-1656,,,,,
1,2426184,2,12.5,9.5,1508,16288,-1732,,,,,
1,2429184,2,12.5,9.5,1808,16292,-1704,,,,,
1,2431184,2,12.5,9.5,1552,16304,-1684,,,,,
1,2434184,2,12.5,9.5,1580,16252,-1904,,,,,
1,2436184,2,12.5,9.5,1932,16292,-1792,,,,,
1,2439184,2,12.5,9.5,1832,16244,-1676,,,,,
1,2441183,2,12.5,9.5,1876,16224,-1556,,,,,
1,2444184,2,12.5,9.5,1956,16168,-1620,,,,,
1,2446184,2,12.5,9.5,1668,16092,-1776,,,,,
1,2449184,2,12.5,9.5,1672,16288,-1720,,,,,
1,2451184,2,12.5,9.5,1372,16148,-1740,,,,,
1,2454184,2,12.5,9.5,1768,16204,-1584,,,,,
1,2456184,2,12.5,9.5,1288,16212,-1592,,,,,
1,2459184,2,12.5,9.5,1328,16132,-1628,,,,,
1,2461184,2,12.5,9.5,1532,16252,-1700,,,,,
1,2464184,2,12.5,9.5,1640,16124,-1520,,,,,
1,2466184,2,12.5,9.5,1596,16152,-1484,,,,,
1,2469184,2,12.5,9.5,1760,16152,-1488,,,,,
1,2471184,2,12.5,9.5,1732,16156,-1744,,,,,
1,2474184,2,12.5,9.5,1908,16248,-1556,,,,,
1,2476184,2,12.5,9.5,1860,16232,-1536,,,,,
1,2479184,2,12.5,9.5,1528,16208,-1780,,,,,
1,2481184,2,12.5,9.5,1676,16232,-1872,,,,,
1,2484184,2,12.5,9.5,1720,16316,-1884,,,,,
1,2486184,2,12.5,9.5,1640,16140,-1556,,,,,
1,2489184,2,12.5,9.5,1424,16160,-1676,,,,,
1,2491184,2,12.5,9.5,1888,16236,-1728,,,,,
1,2494184,2,12.5,9.5,1824,16348,-1884,,,,,
1,2496184,2,12.5,9.5,1536,16304,-1896,,,,,
1,2499184,2,12.5,9.5,1300,16236,-1724,,,,,
1,2501184,2,12.5,9.5,2032,16272,-1588,,,,,
1,2504184,2,12.5,9.5,1600,16292,-1672,,,,,
1,2506184,2,12.5,9.5,1612,16236,-1836,,,,,
1,2509184,2,12.5,9.5,1760,16204,-1624,,,,,
1,2511184,2,12.5,9.5,1684,16232,-1708,,,,,
1,2514184,2,12.5,9.5,1876,16248,-1572,,,,,
1,2516184,2,12.5,9.5,1492,16132,-1520,,,,,
1,2519184,2,12.5,9.5,1784,16216,-1716,,,,,
1,2521184,2,12.5,9.5,1676,16160,-1620,,,,,
1,2524184,2,12.5,9.5,1600,16096,-1600,,,,,
1,2526184,2,12.5,9.5,1772,16136,-1728,,,,,
1,2529184,2,12.5,9.5,1760,16080,-1596,,,,,
1,2531184,2,12.5,9.5,1548,16268,-1876,,,,,
1,2534184,2,12.5,9.5,1704,16200,-1660,,,,,
1,2536183,2,12.5,9.5,1336,16180,-1728,,,,,
1,2539184,2,12.5,9.5,1736,16296,-1628,,,,,
1,2541184,2,12.5,9.5,1384,16188,-1820,,,,,
1,2544184,2,12.5,9.5,1472,16232,-1844,,,,,
1,2546184,2,12.5,9.5,1784,16244,-1584,,,,,
1,2549184,2,12.5,9.5,1712,16220,-1712,,,,,
1,2551184,2,12.5,9.5,1828,16256,-1688,,,,,
1,2554184,2,12.5,9.5,1844,16184,-1680,,,,,
1,2556184,2,12.5,9.5,1928,16180,-1900,,,,,
1,2559184,2,12.5,9.5,1680,16256,-1656,,,,,
1,2561184,2,12.5,9.5,1796,16128,-1508,,,,,
1,2564184,2,12.5,9.5,1552,16284,-1548,,,,,
1,2566184,2,12.5,9.5,1676,16200,-1556,,,,,
1,2569184,2,12.5,9.5,1524,16188,-1732,,,,,
1,2571184,2,12.5,9.5,1744,16288,-1628,,,,,
1,2574184,2,12.5,9.5,1552,16316,-1540,,,,,
1,2576184,2,12.5,9.5,1932,16268,-1524,,,,,
1,2579184,2,12.5,9.5,1796,16308,-1560,,,,,
1,2581184,2,12.5,9.5,1272,16140,-1672,,,,,
1,2584184,2,12.5,9.5,1596,16220,-1752,,,,,
1,2586184,2,12.5,9.5,1908,16232,-1736,,,,,
1,2589184,2,12.5,9.5,1392,16104,-1696,,,,,
1,2591183,2,12.5,9.5,1776,16160,-1688,,,,,
1,2594184,2,12.5,9.5,1720,16096,-1716,,,,,
1,2596184,2,12.5,9.5,1548,16096,-1804,,,,,
1,2599184,2,12.5,9.5,1768,16224,-1728,,,,,
1,2601183,2,12.5,9.5,1464,16200,-1724,,,,,
1,2604184,2,12.5,9.5,1484,16280,-1696,,,,,
1,2606184,2,12.5,9.5,1820,16156,-1500,,,,,
1,2609184,2,12.5,9.5,1984,16308,-1604,,,,,
1,2611184,2,12.5,9.5,1440,16292,-1684,,,,,
1,2614184,2,12.5,9.5,1800,16288,-1528,,,,,
1,2616183,2,12.5,9.5,1672,16444,-1464,,,,,
1,2619184,2,12.5,9.5,1904,16384,-1496,,,,,
1,2621184,2,12.5,9.5,1660,16308,-1592,,,,,
1,2624184,2,12.5,9.5,1372,16340,-1652,,,,,
1,2626184,2,12.5,9.5,1976,16180,-1572,,,,,
1,2629184,2,12.5,9.5,1896,16180,-1628,,,,,
1,2631184,2,12.5,9.5,1532,16036,-1868,,,,,
