t_us,phase,ax,ay,az
1065957,1,-300,17404,-2500
1068456,1,4640,17420,-88
1070958,1,2456,16448,76
1073456,1,5644,18360,-676
1075957,1,-2556,17628,-3360
1078457,1,5208,15740,736
1080957,1,-2412,17800,-5756
1083457,1,232,14264,-1116
1085956,1,-2496,16036,-5176
1088456,1,-764,16836,-4220
1090957,1,4272,13912,544
1093458,1,492,18852,-5972
1095961,1,1912,14376,1264
1098458,1,280,17752,-3608
1100956,1,7820,15276,3236
1103458,1,-3384,16536,-1880
1105958,1,4880,18100,-1316
1108458,1,-652,16492,-1632
1110957,1,4820,18348,-1104
1113457,1,-2552,16388,-3572
1115957,1,2784,14416,1536
1118460,1,5056,17952,-1188
1120958,1,1756,15168,1080
1123458,1,7008,17332,136
1125957,1,284,17800,-1900
1128458,1,3836,17584,448
1130957,1,6368,17232,844
1133458,1,3416,14216,4024
1135962,1,2120,17848,144
1138458,1,-704,17364,-1252
1140959,1,3692,15952,1768
1143458,1,-3924,18452,-2748
1145956,1,772,15988,-80
1148457,1,-2688,14548,480
1150957,1,7660,14060,5700
1153457,1,-2504,18292,-3508
1155965,1,5660,14620,4560
1158458,1,552,14760,1032
1160957,1,9888,18276,2468
1163457,1,-1180,15516,36
1165958,1,1220,14592,3324
1168457,1,2568,18272,-976
1170963,1,5452,12904,7368
1173458,1,-3280,17584,-1696
1175957,1,5736,15344,3752
1178459,1,-5904,17748,-3280
1180958,1,2620,15532,996
1183458,1,3364,16884,-968
1185963,1,7156,13948,4192
1188458,1,2324,15908,-1608
1190958,1,5432,17020,-100
1193458,1,7372,15920,1420
1195961,1,2424,15092,1984
1198458,1,6380,16536,864
1200959,1,444,17692,-88
1203464,1,4596,11752,6048
1205958,1,-1996,19504,-2392
1208457,1,4952,14872,3284
1210962,1,-4312,17236,-976
1213457,1,2500,17176,-76
1215965,1,3920,15472,2012
1218458,1,5016,16264,1800
1220957,1,1564,16220,916
1223458,1,9688,16356,3332
1225957,1,-420,17316,-716
1228458,1,7004,15344,3484
1230957,1,736,17580,624
1233458,1,4588,14456,4016
1235957,1,-340,16040,640
