trial,t_us,phase,x_cm,y_cm,ax,ay,az,,,,,,,
1,453186,0,22.200,4.500,1388,16168,-1644,,,,,,,
1,455186,0,22.200,4.500,1520,16180,-1728,,,,,,,
1,458186,0,22.200,4.500,1356,16240,-1728,,,,,,,
1,460186,0,22.200,4.500,1532,16180,-1532,,,,,,,
1,463186,0,22.200,4.500,1548,16208,-1648,,,,,,,
1,465186,0,22.200,4.500,1488,16228,-1748,,,,,,,
1,468186,0,22.200,4.500,1532,16204,-1720,,,,,,,
1,470186,0,22.200,4.500,1660,16156,-1568,,,,,,,
1,473186,0,22.200,4.500,1504,16200,-1504,,,,,,,
1,475186,0,22.200,4.500,1620,16236,-1660,,,,,,,
1,478186,0,22.200,4.500,1604,16240,-1504,,,,,,,
1,480186,0,22.200,4.500,1612,16316,-1548,,,,,,,
1,483186,0,22.200,4.500,1512,16284,-1588,,,,,,,
1,485186,0,22.200,4.500,1532,16216,-1592,,,,,,,
1,488186,0,22.200,4.500,1528,16288,-1572,,,,,,,
1,490186,0,22.200,4.500,1436,16232,-1608,,,,,,,
1,493186,0,22.200,4.500,1408,16240,-1704,,,,,,,
1,495186,0,22.200,4.500,1404,16172,-1692,,,,,,,
1,498186,0,22.200,4.500,1420,16220,-1616,,,,,,,
1,500186,0,22.200,4.500,1572,16296,-1700,,,,,,,
1,503186,0,22.200,4.500,1624,16120,-1692,,,,,,,
1,505186,0,22.200,4.500,1536,16236,-1656,,,,,,,
1,508186,0,22.200,4.500,1604,16228,-1552,,,,,,,
1,510186,0,22.200,4.500,1556,16268,-1560,,,,,,,
1,513186,0,22.200,4.500,1648,16232,-1612,,,,,,,
1,515186,0,22.200,4.500,1636,16320,-1476,,,,,,,
1,518186,0,22.200,4.500,1580,16304,-1540,,,,,,,
1,520186,0,22.200,4.500,1440,16292,-1560,,,,,,,
1,523186,0,22.200,4.500,1324,16280,-1604,,,,,,,
1,525186,0,22.200,4.500,1448,16232,-1572,,,,,,,
1,528186,0,22.200,4.500,1372,16188,-1576,,,,,,,
1,530186,0,22.200,4.500,1532,16220,-1664,,,,,,,
1,533186,0,22.200,4.500,1616,16168,-1664,,,,,,,
1,535186,0,22.200,4.500,1656,16136,-1568,,,,,,,
1,538186,0,22.200,4.500,1564,16192,-1736,,,,,,,
1,540186,0,22.200,4.500,1568,16128,-1728,,,,,,,
1,543186,0,22.200,4.500,1644,16276,-1656,,,,,,,
1,545186,0,22.200,4.500,1616,16280,-1744,,,,,,,
1,548186,0,22.200,4.500,1556,16328,-1696,,,,,,,
1,550186,0,22.200,4.500,1572,16336,-1652,,,,,,,
1,553186,0,22.200,4.500,1452,16204,-1636,,,,,,,
1,555186,0,22.200,4.500,1448,16292,-1620,,,,,,,
1,558186,0,22.200,4.500,1612,16324,-1448,,,,,,,
1,560186,0,22.200,4.500,1508,16232,-1496,,,,,,,
1,563186,0,22.200,4.500,1472,16240,-1564,,,,,,,
1,565186,0,22.200,4.500,1632,16240,-1632,,,,,,,
1,568186,0,22.200,4.500,1588,16164,-1540,,,,,,,
1,570186,0,22.200,4.500,1636,16272,-1520,,,,,,,
1,573186,0,22.200,4.500,1660,16152,-1704,,,,,,,
1,575186,0,22.200,4.500,1548,16228,-1652,,,,,,,
1,578186,0,22.200,4.500,1556,16240,-1660,,,,,,,
1,580186,0,22.200,4.500,1532,16276,-1708,,,,,,,
1,583186,0,22.200,4.500,1488,16224,-1632,,,,,,,
1,585186,0,22.200,4.500,1516,16256,-1600,,,,,,,
1,588186,0,22.200,4.500,1436,16176,-1704,,,,,,,
1,590186,0,22.200,4.500,1264,16344,-1492,,,,,,,
1,593186,0,22.200,4.500,1432,16344,-1572,,,,,,,
1,595186,0,22.200,4.500,1396,16176,-1640,,,,,,,
1,598186,0,22.200,4.500,1552,16212,-1700,,,,,,,
1,600186,0,22.200,4.500,1616,16232,-1768,,,,,,,
1,603186,0,22.200,4.500,1524,16296,-1620,,,,,,,
